iter	RMSE
0	304.6415456
1	296.1890422
2	287.9856969
3	280.050418
4	272.6714212
5	265.2710998
6	258.1657882
7	251.3882253
8	244.9299212
9	238.6934718
10	232.7596902
11	226.9559423
12	221.2446204
13	215.9337029
14	210.7336665
15	205.6102089
16	200.7217287
17	196.2438014
18	191.8274486
19	187.6246128
20	183.6059978
21	179.780499
22	176.0374403
23	172.3935958
24	169.0435445
25	165.7569947
26	162.7563059
27	159.8648277
28	156.9503579
29	154.1822403
30	151.4257159
31	148.7479725
32	146.3426478
33	144.0207787
34	141.6911983
35	139.4106207
36	137.3774311
37	135.4431821
38	133.5667026
39	131.8445423
40	130.3021508
41	128.5725781
42	127.0969077
43	125.4758837
44	124.1280129
45	122.6408859
46	121.0792961
47	119.736955
48	118.537043
49	117.3344303
50	116.2716983
51	115.1918063
52	114.1980058
53	113.1081956
54	112.2216063
55	111.2892479
56	110.4593127
57	109.6949216
58	108.9180339
59	108.2327783
60	107.5042167
61	106.6279747
62	105.9474593
63	105.1719435
64	104.5269129
65	103.8839332
66	103.083097
67	102.5653541
68	102.0472763
69	101.4958477
70	100.822626
71	100.2759929
72	99.918227
73	99.56705967
74	99.0842055
75	98.62685487
76	98.32207512
77	97.85657579
78	97.48377948
79	97.17395745
80	96.88678798
81	96.51070118
82	96.15201675
83	95.80978603
84	95.57368272
85	95.33226788
86	95.05754072
87	94.74669099
88	94.46102913
89	94.05541001
90	93.78917472
91	93.5853484
92	93.21170631
93	93.00838686
94	92.75846407
95	92.60869605
96	92.43799266
97	92.13627408
98	91.91522326
99	91.73897046
100	91.58905893
101	91.44488877
102	91.23208946
103	90.98995716
104	90.7297733
105	90.54863484
106	90.26744694
107	90.02304632
108	89.86064964
109	89.65698528
110	89.43823613
111	89.24059024
112	89.11648227
113	88.94561242
114	88.75965814
115	88.5572726
116	88.41910349
117	88.28666651
118	88.12153132
119	87.98087267
120	87.83960097
121	87.6658457
122	87.58323619
123	87.41902349
124	87.28568581
125	87.15085345
126	86.99048151
127	86.89589934
128	86.74952486
129	86.61668874
130	86.48095071
131	86.3654958
132	86.27545266
133	86.15396893
134	86.05016963
135	85.97652484
136	85.80118242
137	85.53378107
138	85.41029564
139	85.25913146
140	85.16731297
141	85.05520561
142	84.9399121
143	84.82993929
144	84.62422059
145	84.53278912
146	84.30291121
147	84.17951759
148	84.07411408
149	84.00628832
150	83.84991053
151	83.76878353
152	83.62284293
153	83.48772008
154	83.39262539
155	83.29515627
156	83.20473181
157	83.11355632
158	83.031667
159	82.93420709
160	82.79394468
161	82.68941641
162	82.47669517
163	82.36474531
164	82.21812459
165	82.1463432
166	82.07651802
167	81.934079
168	81.86181693
169	81.77150372
170	81.68762217
171	81.627051
172	81.44315239
173	81.3441406
174	81.24903432
175	81.12535306
176	81.02504492
177	80.9228615
178	80.76716907
179	80.7161914
180	80.62458703
181	80.51733126
182	80.46314056
183	80.3479956
184	80.24923254
185	80.14383894
186	80.05163166
187	79.91946642
188	79.82925936
189	79.72589903
190	79.69062074
191	79.61306483
192	79.50904172
193	79.42731917
194	79.34309569
195	79.25885111
196	79.20258391
197	79.12288117
198	79.06860809
199	79.03457113
200	78.92316855
201	78.84266529
202	78.77800269
203	78.70708907
204	78.66305419
205	78.52855497
206	78.46127986
207	78.36913934
208	78.29062657
209	78.20490046
210	78.15091196
211	78.04260514
212	77.96110699
213	77.85027638
214	77.79151313
215	77.72407606
216	77.6592078
217	77.53914267
218	77.45426719
219	77.36776348
220	77.30141865
221	77.26875375
222	77.20080196
223	77.1491249
224	77.07519903
225	77.02419921
226	76.96062318
227	76.8962325
228	76.83743908
229	76.78572591
230	76.72808996
231	76.64721551
232	76.59457213
233	76.50132577
234	76.43998777
235	76.35355823
236	76.27825857
237	76.18581229
238	76.11963833
239	76.07733445
240	76.01530901
241	75.93218098
242	75.87921234
243	75.81894837
244	75.77876208
245	75.69965346
246	75.64289155
247	75.57864157
248	75.5524149
249	75.47428397
250	75.42501741
251	75.3778268
252	75.33176869
253	75.28751284
254	75.25093226
255	75.16682775
256	75.08553936
257	74.9969574
258	74.88346009
259	74.7775191
260	74.72736001
261	74.65381698
262	74.60486969
263	74.4666205
264	74.40230077
265	74.35588668
266	74.28546993
267	74.23972407
268	74.19377855
269	74.13072328
270	74.0780217
271	74.00276186
272	73.94220413
273	73.89053441
274	73.85722042
275	73.81723801
276	73.73336695
277	73.67860916
278	73.6113028
279	73.58338882
280	73.50925778
281	73.48513665
